Date,Current Account Size
2020-08-04 00:00:00,1468269.7999999998
2020-08-05 00:00:00,1470636.2799999996
2020-08-06 00:00:00,1474796.9499999997
2020-08-07 00:00:00,1480233.7299999995
2020-08-10 00:00:00,1480668.3799999997
2020-08-11 00:00:00,1487757.5999999996
2020-08-12 00:00:00,1475998.1099999999
2020-08-13 00:00:00,1474257.3
2020-08-14 00:00:00,1472579.6400000001
2020-08-17 00:00:00,1483791.12
2020-08-18 00:00:00,1496920.7399999998
2020-08-19 00:00:00,1500187.0
2020-08-20 00:00:00,1459527.63
2020-08-21 00:00:00,1464032.42
2020-08-24 00:00:00,1456253.94
2020-08-25 00:00:00,1453446.72
2020-08-26 00:00:00,1457483.4100000001
2020-08-27 00:00:00,1465856.3
2020-08-28 00:00:00,1462451.9600000002
2020-08-31 00:00:00,1465026.2599999998
2020-09-01 00:00:00,1475203.3299999998
2020-09-02 00:00:00,1489365.0199999998
2020-09-03 00:00:00,1467986.2399999998
2020-09-04 00:00:00,1481126.4299999997
2020-09-08 00:00:00,1485207.5499999998
2020-09-09 00:00:00,1474366.4399999997
2020-09-10 00:00:00,1492378.7299999995
2020-09-11 00:00:00,1508717.5699999996
2020-09-14 00:00:00,1490870.4999999995
2020-09-15 00:00:00,1484030.3499999996
2020-09-16 00:00:00,1485718.1799999995
2020-09-17 00:00:00,1479488.3999999992
2020-09-18 00:00:00,1475019.6799999992
2020-09-21 00:00:00,1471063.7799999989
2020-09-22 00:00:00,1459375.959999999
2020-09-23 00:00:00,1467895.829999999
2020-09-24 00:00:00,1480484.8099999991
2020-09-25 00:00:00,1472992.0799999991
2020-09-28 00:00:00,1446672.8499999996
2020-09-29 00:00:00,1447085.1299999997
2020-09-30 00:00:00,1450646.2399999998
2020-10-01 00:00:00,1456539.8699999996
2020-10-02 00:00:00,1456146.1799999997
2020-10-05 00:00:00,1455549.6399999997
2020-10-06 00:00:00,1455456.8899999994
2020-10-07 00:00:00,1467009.2900000003
2020-10-08 00:00:00,1468754.0899999999
2020-10-09 00:00:00,1479579.69
2020-10-12 00:00:00,1489923.5499999996
2020-10-13 00:00:00,1476230.0499999998
2020-10-14 00:00:00,1475314.4099999997
2020-10-15 00:00:00,1474953.13
2020-10-16 00:00:00,1481253.8099999998
2020-10-19 00:00:00,1479528.0399999996
2020-10-20 00:00:00,1482823.7199999997
2020-10-21 00:00:00,1481945.6599999997
2020-10-22 00:00:00,1488598.8299999996
2020-10-23 00:00:00,1495531.2599999995
2020-10-26 00:00:00,1482798.0599999996
2020-10-27 00:00:00,1473957.9699999997
2020-10-28 00:00:00,1486219.9099999995
2020-10-29 00:00:00,1483993.0899999996
2020-10-30 00:00:00,1480170.9699999995
2020-11-02 00:00:00,1457398.7099999995
2020-11-03 00:00:00,1457501.5899999999
2020-11-04 00:00:00,1446953.6
2020-11-05 00:00:00,1454108.6800000002
2020-11-06 00:00:00,1460610.14
2020-11-09 00:00:00,1495800.4600000002
2020-11-10 00:00:00,1459712.67
2020-11-11 00:00:00,1455054.19
2020-11-12 00:00:00,1445157.2499999995
2020-11-13 00:00:00,1455016.7999999998
2020-11-16 00:00:00,1481201.7799999998
2020-11-17 00:00:00,1466168.7399999998
2020-11-18 00:00:00,1468579.44
2020-11-19 00:00:00,1457481.9
2020-11-20 00:00:00,1462200.4999999998
2020-11-23 00:00:00,1482459.8799999997
2020-11-24 00:00:00,1519764.59
2020-11-25 00:00:00,1507196.38
2020-11-27 00:00:00,1518088.4799999995
2020-11-30 00:00:00,1501033.81
2020-12-01 00:00:00,1502507.5000000002
2020-12-02 00:00:00,1509931.9200000006
2020-12-03 00:00:00,1523996.5500000007
2020-12-04 00:00:00,1533913.1900000004
2020-12-07 00:00:00,1543572.4200000004
2020-12-08 00:00:00,1553217.2400000002
2020-12-09 00:00:00,1552545.4100000006
2020-12-10 00:00:00,1552710.3800000008
2020-12-11 00:00:00,1544542.3800000006
2020-12-14 00:00:00,1534231.9600000007
2020-12-15 00:00:00,1533872.1900000004
2020-12-16 00:00:00,1537276.3800000004
2020-12-17 00:00:00,1543394.8300000003
2020-12-18 00:00:00,1550557.7999999998
